,hyp,ref,src,tgt,model,task,labels,label,p(Hallucination),text
0,Resembling or characteristic of a weasel.,tgt,"The writer had just entered into his eighteenth year , when he met at the table of a certain Anglo - Germanist an individual , apparently somewhat under thirty , of middle stature , a thin and <define> weaselly </define> figure , a sallow complexion , a certain obliquity of vision , and a large pair of spectacles .",Resembling a weasel (in appearance).,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The writer had just entered into his eighteenth year , when he met at the table of a certain Anglo - Germanist an individual , apparently somewhat under thirty , of middle stature , a thin and <define> weaselly </define> figure , a sallow complexion , a certain obliquity of vision , and a large pair of spectacles .
Hypothesis: Resembling or characteristic of a weasel.
Target: Resembling a weasel (in appearance).
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
1,Alternative form of sheath knife,tgt,"Sailors ' and fishermen 's <define> sheath - knives </define> . Sailors ' sheath - knives .   Wilcox , Crittenden & Co. , Middletown , Conn.29428 .   Sheath and belt , with "" law - abiding "" sheath - knife . First quality.29426 .   Sheath and belt . Second quality.29427 .   Sheath and belt , with "" law - abiding "" sheath - knife . Third quality . The "" law - abiding "" sheath - knife is round at the tip of the blade , which is also thick and dull .",.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Sailors ' and fishermen 's <define> sheath - knives </define> . Sailors ' sheath - knives .   Wilcox , Crittenden & Co. , Middletown , Conn.29428 .   Sheath and belt , with "" law - abiding "" sheath - knife . First quality.29426 .   Sheath and belt . Second quality.29427 .   Sheath and belt , with "" law - abiding "" sheath - knife . Third quality . The "" law - abiding "" sheath - knife is round at the tip of the blade , which is also thick and dull .
Hypothesis: Alternative form of sheath knife
Target: .
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
2,(obsolete) A short period of time.,tgt,"As to age , Bead could not form any clear impression ; he might have been twenty , or forty . All of this visual perception occurred in an <define> eyewink </define> of time   [ � ]","(poetic) An instant, a short moment.",,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: As to age , Bead could not form any clear impression ; he might have been twenty , or forty . All of this visual perception occurred in an <define> eyewink </define> of time   [ � ]
Hypothesis: (obsolete) A short period of time.
Target: (poetic) An instant, a short moment.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
3,(slang) An incel.,tgt,Because redpillers are usually normies or <define> Chadlites </define> while incels are ugly low - value males that women feel innately repulsed by .,"(incel, _, slang) A man of a slightly lower ranking on a scale of physical attractiveness than Chad.",,DM,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Because redpillers are usually normies or <define> Chadlites </define> while incels are ugly low - value males that women feel innately repulsed by .
Hypothesis: (slang) An incel.
Target: (incel, _, slang) A man of a slightly lower ranking on a scale of physical attractiveness than Chad.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
4,"An island in Lienchiang County, Taiwan.",tgt,"On the second day of massive live - fire drills being held by the People 's Liberation Army ( PLA ) around Taiwan , Taiwan 's Army also conducted live - fire exercises in Lienchiang County 's Dongyin Township from 6 p.m. to 9 p.m. However , during the exercises , witnesses gave differing accounts of either tracer fire or flares landing on a hill behind Sanjia Village on <define> Xiyin </define> Island and starting a fire , reported UDN .","An island in Dongyin, Lienchiang, Taiwan, in the Matsu Islands.",,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: On the second day of massive live - fire drills being held by the People 's Liberation Army ( PLA ) around Taiwan , Taiwan 's Army also conducted live - fire exercises in Lienchiang County 's Dongyin Township from 6 p.m. to 9 p.m. However , during the exercises , witnesses gave differing accounts of either tracer fire or flares landing on a hill behind Sanjia Village on <define> Xiyin </define> Island and starting a fire , reported UDN .
Hypothesis: An island in Lienchiang County, Taiwan.
Target: An island in Dongyin, Lienchiang, Taiwan, in the Matsu Islands.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
5,Alternative form of blue-bearded,tgt,"Grouped in the center of the hall were about two hundred men , all armed with sabers , � men of every age , and height and swarthiness , from stout , <define> blue - bearded </define> veterans to youths yet in their teens   [ � ]","Having thick, dark facial hair.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Grouped in the center of the hall were about two hundred men , all armed with sabers , � men of every age , and height and swarthiness , from stout , <define> blue - bearded </define> veterans to youths yet in their teens   [ � ]
Hypothesis: Alternative form of blue-bearded
Target: Having thick, dark facial hair.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
6,(baseball) A sacrifice bunt.,tgt,"The <define> sacrifice bunt </define> was fielded cleanly , but the only play was to first .",(baseball) A ball that has been intentionally hit softly with a hands-spread batting stance with the intention of advancing a runner at the cost of an out,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The <define> sacrifice bunt </define> was fielded cleanly , but the only play was to first .
Hypothesis: (baseball) A sacrifice bunt.
Target: (baseball) A ball that has been intentionally hit softly with a hands-spread batting stance with the intention of advancing a runner at the cost of an out
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
7,"(Australia, New Zealand, slang) Drunk.",tgt,� She changes her shape depending on which way you 're coming at her . Once you know the contours of Bulgonunna you 'll never get <define> bushed </define> in this country . �,(AU) Lost in the bush. [from 19th c.],,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: � She changes her shape depending on which way you 're coming at her . Once you know the contours of Bulgonunna you 'll never get <define> bushed </define> in this country . �
Hypothesis: (Australia, New Zealand, slang) Drunk.
Target: (AU) Lost in the bush. [from 19th c.]
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
8,(linguistics) The study of the relationships between words and their meanings.,tgt,The <define> metaontology </define> debate has now migrated from discussions of composition .,The ontology of ontology.,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The <define> metaontology </define> debate has now migrated from discussions of composition .
Hypothesis: (linguistics) The study of the relationships between words and their meanings.
Target: The ontology of ontology.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
9,(uncountable) The quality or state of being ingenious.,tgt,Poverty is the mother of <define> ingenuity </define> .,"The ability to solve difficult problems, often in original, clever, and inventive ways.",,DM,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Poverty is the mother of <define> ingenuity </define> .
Hypothesis: (uncountable) The quality or state of being ingenious.
Target: The ability to solve difficult problems, often in original, clever, and inventive ways.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
10,(intransitive) To die.,tgt,""" But why should I be in another room ? "" "" You <define> passed over </define> in the night . "" "" Passed over ? Do you mean I died ? "" "" Yes , lady , you died . "" There was a long silence .","(intransitive, euphemistic) To die and thus progress to the afterlife.",,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: "" But why should I be in another room ? "" "" You <define> passed over </define> in the night . "" "" Passed over ? Do you mean I died ? "" "" Yes , lady , you died . "" There was a long silence .
Hypothesis: (intransitive) To die.
Target: (intransitive, euphemistic) To die and thus progress to the afterlife.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
